Primary Key,Order No,Order Date,Manufacturer,Product Category,Model Year,Serial Number,Complaint,Correction,Failure Condition - Failure Component,Fix Condition - Fix Component,Complaint_Clean,Correction_Clean,Order No,Part Manufacturer,Part Description,Revenue,Actual Hours,Cost,Cost_Per_Hour,Year,Month
SO0049171-2,SO0049171,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Not Mentioned - Not Mentioned,No Component Mentioned - No Component Mentioned,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0049171,PASE,UNION TEE,13.05,18.4497,13.05,0.7035154207345671,2023,4
SO0049171-4,SO0049171,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Not Mentioned - Not Mentioned,Recirculation System - Installed,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0049171,PASE,O-RING,0.53,18.4497,0.53,0.02857189065052265,2023,4
SO0049367-1,SO0049367,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Not Opening - Valve,Valve - Removed,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0049367,PASE,ORING,0.51,18.4497,0.52,0.02803279837409769,2023,4
SO0049367-2,SO0049367,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Not Mentioned - Not Mentioned,"Tip - Installed, Tip - Tested",PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0049367,PASE,WASHER,0.8599,18.4497,0.8599,0.04635654484978193,2023,4
SO0049367-3,SO0049367,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN","Leak - O Ring, Not Mentioned - Hose","O Ring - Replaced, Right Hose - Cut",PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0049367,PK SYSTEMS,CLAMP,6.52,18.4497,6.5099,0.3509436810298819,2023,4
SO0049367-4,SO0049367,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Not Mentioned - Receiver,Radio - Installed,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0049367,PASE,BOLT,0.87,18.4497,0.87,0.04690102804897114,2023,4
SO0055053-1,SO0055053,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Not Mentioned - Not Mentioned,"Roof Harness - Installed, Antenna - Installed",PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0055053,PK SYSTEMS,GASKET,0.68,18.4497,0.68,0.036658274796896984,2023,4
SO0055584-10,SO0055584,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Not Mentioned - No Component Mentioned,No Component Mentioned - No Component Mentioned,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0055584,PASE,O-RING,0.7099,18.4497,0.7099,0.0382701607034076,2023,4
SO0055584-3,SO0055584,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN","Not Mentioned - Boom, Not Raised - Boom",Boom Isolation Valve - Realigned,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0055584,PASE,SPIRAX CX50 WHEEL OIL 5 GAL,95.6299,18.4497,95.6299,5.155334048529086,2023,4
SO0055584-5,SO0055584,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Stripped Thread - Boom,Adjuster - Replaced,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0055584,PK SYSTEMS,2X2 FLANGE CPG,9.5,18.4497,9.5,0.5121376626037079,2023,4
SO0058348-1,SO0058348,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Not Mentioned - Not Mentioned,Boom Recirculation System - Installed,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0058348,PASE,O-RING,0.68,18.4497,0.68,0.036658274796896984,2023,4
SO0058358-1,SO0058358,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Fuel Leak - Seperator,No Component Mentioned - No Component Mentioned,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0058358,PASE,NUT,2.56,18.4497,2.56,0.13800762276478865,2023,4
SO0058395-1,SO0058395,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Fuel Pressure Loss - Machine,Filter - Replaced,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0058395,PASE,"COUPLER,2 IN MANIFOLD",10.76,18.4497,10.76,0.5800632894332522,2023,4
SO0058400-1,SO0058400,2023-04-11,PASEIH,SPRAYS,2023,YPT056751,PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE. ,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",Missed - Pad,"Skid Rubber Pad - Installed, Bolt - Retightened",PDI INSPECTION   OIL LEAK ON GEAR PUMP PRESSURE SIDE FITTING. OIL LEAK ON  M3 PORT.     AIR LINE TO TIP CLEANING STATION LEAKING WATER.   CHECK FLUID LEVELS. FOUND RIGHT REAR SHIELD BOLT RUBBING ON HYD. BREAKER HOSE. IT HAD ALREADY SLIGHTLY DAMAGED HOSE.,"Das Ölleck an der Armatur der Zahnradpumpe war locker. FESTES ANSCHLUSS. Der Test ist immer noch durchgesickert. ANSCHLUSS ENTFERNT, UM O-RING ZU PRÜFEN. Naht verformt. O-RING ERSETZT.       Die Montage am M3-Anschluss war nicht locker. O-RING-NAHT VERFORMT. O-RING ERSETZT.     NEUE LUFT BESTELLEN",SO0058400,PASE,PIN,36.09,18.4497,36.09,1.945584025617665,2023,4
SO0058402-2,SO0058402,2023-04-14,PASEIH,SPRAYS,0,YPT056185,Hyd. Leak,"DURCHFLUSSRATE, UM DIE LECKURLAGE ZU lokalisieren. HYDRAULIKANSCHLUSS ENTFERNT, DA WAR UNDICHT. AUFGRUND DER VERFÜHRUNG MUSSTEN BEIDE Enden des SCHLAUCHS ENTFERNT WERDEN UND DER ANSCHLUSS NICHT IM WEG ENTFERNEN. LASSEN SIE DAS ÖL AUS DER LEITUNG ABLAUFEN. IN DER UNDICHTEN ANSCHLUSSVERBINDUNG WAR KEIN O-RING VORHANDEN. INSTALLIERT NEUER O-RING IN FITTI",Leak - Hose,"Line - Replaced, Line - Rerouted, Machine - Tested",Hyd. Leak,"DURCHFLUSSRATE, UM DIE LECKURLAGE ZU lokalisieren. HYDRAULIKANSCHLUSS ENTFERNT, DA WAR UNDICHT. AUFGRUND DER VERFÜHRUNG MUSSTEN BEIDE Enden des SCHLAUCHS ENTFERNT WERDEN UND DER ANSCHLUSS NICHT IM WEG ENTFERNEN. LASSEN SIE DAS ÖL AUS DER LEITUNG ABLAUFEN. IN DER UNDICHTEN ANSCHLUSSVERBINDUNG WAR KEIN O-RING VORHANDEN. INSTALLIERT NEUER O-RING IN FITTI",SO0058402,PASE,O-RING,5.6,1.1998,3.96,3.04662255731651,2023,4
SO0058404-1,SO0058404,2023-05-05,PASEIH,SPRAYS,0,YPT056717,OIL DRIPPING FROM BOTTOM OF MACHINEPICTURES INCLUDED,KUNDENDIENSTRUF 14 MEILEN. O-RING AN DER SCHNELLVERBINDUNG MIT MÄNNLICHEM AUSSCHLUSS. DIE TEILE BILDEN DIESE SCHNELLKUPPLUNG NICHT AB. DEMONTIEREN UND O-RING PASSEN. HYDRAULIKBEHÄLTER AUFFÜLLEN. LAUFTEST.,Inoperative - Sensor,"Sensor - Replaced, Sensor - Recalibrated",OIL DRIPPING FROM BOTTOM OF MACHINEPICTURES INCLUDED,KUNDENDIENSTRUF 14 MEILEN. O-RING AN DER SCHNELLVERBINDUNG MIT MÄNNLICHEM AUSSCHLUSS. DIE TEILE BILDEN DIESE SCHNELLKUPPLUNG NICHT AB. DEMONTIEREN UND O-RING PASSEN. HYDRAULIKBEHÄLTER AUFFÜLLEN. LAUFTEST.,SO0058404,PASE,O-RING,0.0,1.52,0.0,0.0,2023,5
SO0058406-1,SO0058406,2023-05-05,PASEIH,SPRAYS,0,YPT056717,OIL DRIPPING FROM BOTTOM OF MACHINEPICTURES INCLUDED,KUNDENDIENSTRUF 14 MEILEN. O-RING AN DER SCHNELLVERBINDUNG MIT MÄNNLICHEM AUSSCHLUSS. DIE TEILE BILDEN DIESE SCHNELLKUPPLUNG NICHT AB. DEMONTIEREN UND O-RING PASSEN. HYDRAULIKBEHÄLTER AUFFÜLLEN. LAUFTEST.,Not Updated - Hood,"Bracket - Installed, Nut - Retightened",OIL DRIPPING FROM BOTTOM OF MACHINEPICTURES INCLUDED,KUNDENDIENSTRUF 14 MEILEN. O-RING AN DER SCHNELLVERBINDUNG MIT MÄNNLICHEM AUSSCHLUSS. DIE TEILE BILDEN DIESE SCHNELLKUPPLUNG NICHT AB. DEMONTIEREN UND O-RING PASSEN. HYDRAULIKBEHÄLTER AUFFÜLLEN. LAUFTEST.,SO0058406,PASE,OIL HV46 5GAL HYDRAULIC,120.12,1.52,92.09,56.84567901234568,2023,5
SO0058466-1,SO0058466,2023-05-05,PASEIH,SPRAYS,0,YPT056717,OIL DRIPPING FROM BOTTOM OF MACHINEPICTURES INCLUDED,KUNDENDIENSTRUF 14 MEILEN. O-RING AN DER SCHNELLVERBINDUNG MIT MÄNNLICHEM AUSSCHLUSS. DIE TEILE BILDEN DIESE SCHNELLKUPPLUNG NICHT AB. DEMONTIEREN UND O-RING PASSEN. HYDRAULIKBEHÄLTER AUFFÜLLEN. LAUFTEST.,Leak - Bin,"Steel Line - Replaced, Rubber Hose - Replaced",OIL DRIPPING FROM BOTTOM OF MACHINEPICTURES INCLUDED,KUNDENDIENSTRUF 14 MEILEN. O-RING AN DER SCHNELLVERBINDUNG MIT MÄNNLICHEM AUSSCHLUSS. DIE TEILE BILDEN DIESE SCHNELLKUPPLUNG NICHT AB. DEMONTIEREN UND O-RING PASSEN. HYDRAULIKBEHÄLTER AUFFÜLLEN. LAUFTEST.,SO0058466,PASE,O-RING,2.74,1.52,1.12,0.6913580246913581,2023,5
